username,rating,comment
r*****9,4,Kirain XLnya lumayan besar ternyata masih sedikit agak kecil saya pakai. Tp untungnya masih muat
nawankosi,5,"Bagus banget bajunyaa, next orde lagi dah pokoknya the bestt"
babynkidsshop31_,4,"Bagus bahannya lembut oversize juga lumayan, makasihh min"
zahraagnia__,5,"bahannya bagus banget, adem pisannnn, makasih banyak kakaaaa"
cialakondong,5,"Mantap barang sesuai pesanan
josssssssssssssssssssssssssssssss"
cimungcuy_,5,"Jujur gur kasih bintang 5 karena pengen dapet koin 25.
Karena menurut gue, produknya sangat tidak rekomen banget."
tssniarus,5,"Bahannya tebel ya, bagus banget. Pas dateng kirain kekecilan ternyata cukup buat suamiku malah agak oversize. Sumpah ini bagus banget sih"
rizkivalensi,5,Alhamdulillah suami suka sama bajunya semoga ada motif baru lagi 😍
apriliyareni29,4,"Maaf bintang 4, jahitan kurang rapi🙏 semoga kedepannya lbh baik lagi😇"
16donastiya,5,"Kalau liat gambar yang dipilih garisnye mrah tapi yang sampai garis biru, malahan lebih bagus yang garis baru pas udah sampai sini ,suka deh pokoknya , trimaksih👍👍"
l*****0,5,"kudua kalinya beli disini, makasih kak. cocok sama bahannya."
wiwinaylajeo,5,"Terimakasih barang sudah datang, bahan tebal.dan oke"
agent.rabbit,5,"Seller responsif. Barang yg dikirim sesuai. Pengirimannya cpt banget. Bahan ok, tp ini bukan yg model flanel agak bulu² gitu jd agak kaku. Size M nya ok lah. Harga jg bersahabat. Overall nyaman kok dipake"
arifin_hidayat22,5,"Pengiriman cepat,respon penjual baik, harga terjangkau, kualitas barang baik, mudah mudahan puas terimakasih ya"
,5,"Joss gandoss pengirimann cepat pengemasan cepatt responn jugaa baik meskipun order nya cod, kemejanya jugaa okee sesuaii gambarr mantulll pokok ee👍👍👍👍😍😍"
wakhidatulfajriyah,5,Bajunya bagus sesuai ekspektasi..harga ramah moga tdlidak cepet bluwus...penjual amanah pengiriman cepat....
sekaistore.id,4,Beda brand tapi kualitas Ok
agemanbatik29,5,"Belum dibuka sih, tapi pengiriman oke dan harga terjangkau. Semoga sesuai ekspektasi. "
